frame_idx,elapsed_ms,fps,process_us,physics_us,node_count,npc_count,signal_emit,prox_check,behavior_tick,anim_update,collision_count,memory_bytes
0,6,145.0,966.0,850.0,176,10,0,0,0,0,0,294730988
1,13,145.0,966.0,850.0,176,10,0,0,0,0,0,294732536
2,20,145.0,966.0,850.0,176,10,0,0,0,0,0,294732832
3,27,145.0,966.0,850.0,176,10,0,0,0,0,0,294733152
4,33,145.0,966.0,850.0,176,10,0,0,0,0,0,294733424
5,40,145.0,966.0,850.0,176,10,0,0,0,0,0,294733768
6,46,145.0,966.0,850.0,176,10,0,0,0,0,0,294734040
7,54,145.0,966.0,850.0,176,10,0,0,0,0,0,294734312
8,61,145.0,966.0,850.0,176,10,0,0,0,0,0,294734680
9,68,145.0,966.0,850.0,176,10,0,0,0,0,0,294734952
10,75,145.0,966.0,850.0,176,10,0,0,0,0,0,294735224
11,82,145.0,966.0,850.0,176,10,0,0,0,0,0,294735496
12,89,145.0,966.0,850.0,176,10,0,0,0,0,0,294735912
13,95,145.0,966.0,850.0,176,10,0,0,0,0,0,294736184
14,103,145.0,966.0,850.0,176,10,0,0,0,0,0,294736456
15,109,145.0,966.0,850.0,176,10,0,0,0,0,0,294736752
16,116,145.0,966.0,850.0,176,10,0,0,0,0,0,294737048
17,123,145.0,966.0,850.0,176,10,0,0,0,0,0,294737344
18,130,145.0,966.0,850.0,176,10,0,0,0,0,0,294737856
19,137,145.0,966.0,850.0,176,10,0,0,0,0,0,294738152
20,144,145.0,966.0,850.0,176,10,0,0,0,0,0,294738448
21,151,145.0,966.0,850.0,176,10,0,0,0,0,0,294738744
22,158,145.0,966.0,850.0,176,10,0,0,0,0,0,294739040
23,165,145.0,966.0,850.0,176,10,0,0,0,0,0,294739336
24,171,145.0,966.0,850.0,176,10,0,0,0,0,0,294739632
25,179,145.0,966.0,850.0,176,10,0,0,0,0,0,294739928
26,185,145.0,966.0,850.0,176,10,0,0,0,0,0,294740224
27,192,145.0,966.0,850.0,176,10,0,0,0,0,0,294740856
28,199,145.0,966.0,850.0,176,10,0,0,0,0,0,294741152
29,207,145.0,966.0,850.0,176,10,0,0,0,0,0,294741448
30,213,145.0,966.0,850.0,176,10,0,0,0,0,0,294741744
31,220,145.0,966.0,850.0,176,10,0,0,0,0,0,294742040
32,227,145.0,966.0,850.0,176,10,0,0,0,0,0,294742336
33,234,145.0,966.0,850.0,176,10,0,0,0,0,0,294742632
34,241,145.0,966.0,850.0,176,10,0,0,0,0,0,294742928
35,247,145.0,966.0,850.0,176,10,0,0,0,0,0,294743224
36,254,145.0,966.0,850.0,176,10,0,0,0,0,0,294743520
37,262,145.0,966.0,850.0,176,10,0,0,0,0,0,294743816
38,268,145.0,966.0,850.0,176,10,0,0,0,0,0,294744112
39,275,145.0,966.0,850.0,176,10,0,0,0,0,0,294744408
40,282,145.0,966.0,850.0,176,10,0,0,0,0,0,294744704
41,294,145.0,966.0,850.0,176,10,0,0,0,0,0,294745504
42,294,145.0,966.0,850.0,176,10,0,0,0,0,0,294745800
43,303,145.0,966.0,850.0,176,10,0,0,0,0,0,294746096
44,309,145.0,966.0,850.0,176,10,0,0,0,0,0,294746392
45,316,145.0,966.0,850.0,176,10,0,0,0,0,0,294746688
46,323,145.0,966.0,850.0,176,10,0,0,0,0,0,294746984
47,330,145.0,966.0,850.0,176,10,0,0,0,0,0,294747280
48,337,145.0,966.0,850.0,176,10,0,0,0,0,0,294747576
49,344,145.0,966.0,850.0,176,10,0,0,0,0,0,294747872
50,351,145.0,966.0,850.0,176,10,0,0,0,0,0,294748168
51,357,145.0,966.0,850.0,176,10,0,0,0,0,0,294748464
52,364,145.0,966.0,850.0,176,10,0,0,0,0,0,294748760
53,371,145.0,966.0,850.0,176,10,0,0,0,0,0,294749056
54,379,145.0,966.0,850.0,176,10,0,0,0,0,0,294749352
55,385,145.0,966.0,850.0,176,10,0,0,0,0,0,294749648
56,392,145.0,966.0,850.0,176,10,0,0,0,0,0,294749944
57,399,145.0,966.0,850.0,176,10,0,0,0,0,0,294750240
58,406,145.0,966.0,850.0,176,10,0,0,0,0,0,294750536
59,413,145.0,966.0,850.0,176,10,0,0,0,0,0,294750832
60,420,145.0,966.0,850.0,176,10,0,0,0,0,0,294751128
61,427,145.0,966.0,850.0,176,10,0,0,0,0,0,294751424
62,434,145.0,966.0,850.0,176,10,0,0,0,0,0,294752464
63,445,145.0,966.0,850.0,176,10,0,0,0,0,0,294752760
64,458,145.0,966.0,850.0,176,10,0,0,0,0,0,294753056
65,458,145.0,966.0,850.0,176,10,0,0,0,0,0,294753352
66,472,145.0,966.0,850.0,176,10,0,0,0,0,0,294753648
67,472,145.0,966.0,850.0,176,10,0,0,0,0,0,294753944
