frame_idx,elapsed_ms,fps,process_us,physics_us,node_count,npc_count,signal_emit,prox_check,behavior_tick,anim_update,collision_count,memory_bytes
0,6,145.0,733.0,507.0,176,10,0,0,1,0,0,294730980
1,12,145.0,733.0,507.0,176,10,0,0,2,0,0,294732528
2,20,145.0,733.0,507.0,176,10,0,0,3,0,0,294732824
3,27,145.0,733.0,507.0,176,10,0,0,4,0,0,294733144
4,34,145.0,733.0,507.0,176,10,0,0,5,0,0,294733416
5,40,145.0,733.0,507.0,176,10,0,0,6,0,0,294733760
6,47,145.0,733.0,507.0,176,10,0,0,7,0,0,294734032
7,54,145.0,733.0,507.0,176,10,0,0,8,0,0,294734304
8,61,145.0,733.0,507.0,176,10,0,0,9,0,0,294734672
9,68,145.0,733.0,507.0,176,10,0,0,10,0,0,294734944
10,74,145.0,733.0,507.0,176,10,0,0,11,0,0,294735216
11,82,145.0,733.0,507.0,176,10,0,0,12,0,0,294735488
12,89,145.0,733.0,507.0,176,10,0,0,13,0,0,294735904
13,96,145.0,733.0,507.0,176,10,0,0,14,0,0,294736176
14,103,145.0,733.0,507.0,176,10,0,0,15,0,0,294736448
15,109,145.0,733.0,507.0,176,10,0,0,16,0,0,294736744
16,116,145.0,733.0,507.0,176,10,0,0,17,0,0,294737040
17,123,145.0,733.0,507.0,176,10,0,0,18,0,0,294737336
18,130,145.0,733.0,507.0,176,10,0,0,19,0,0,294737848
19,136,145.0,733.0,507.0,176,10,0,0,20,0,0,294738144
20,144,145.0,733.0,507.0,176,10,0,0,21,0,0,294738440
21,151,145.0,733.0,507.0,176,10,0,0,22,0,0,294738736
22,158,145.0,733.0,507.0,176,10,0,0,23,0,0,294739032
23,164,145.0,733.0,507.0,176,10,0,0,24,0,0,294739328
24,170,145.0,733.0,507.0,176,10,0,0,25,0,0,294739624
25,179,145.0,733.0,507.0,176,10,0,0,26,0,0,294739920
26,185,145.0,733.0,507.0,176,10,0,0,27,0,0,294740216
27,192,145.0,733.0,507.0,176,10,0,0,28,0,0,294740848
28,199,145.0,733.0,507.0,176,10,0,0,29,0,0,294741144
29,206,145.0,733.0,507.0,176,10,0,0,30,0,0,294741440
30,213,145.0,733.0,507.0,176,10,0,0,31,0,0,294741736
