frame_idx,elapsed_ms,fps,process_us,physics_us,node_count,npc_count,signal_emit,prox_check,behavior_tick,anim_update,collision_count,memory_bytes
0,6,145.0,629.0,307.0,176,10,0,0,0,0,0,294730980
1,13,145.0,629.0,307.0,176,10,0,0,0,0,0,294732528
2,20,145.0,629.0,307.0,176,10,0,0,0,0,0,294732824
3,26,145.0,629.0,307.0,176,10,0,0,0,0,0,294733144
4,32,145.0,629.0,307.0,176,10,0,0,0,0,0,294733416
5,40,145.0,629.0,307.0,176,10,0,0,0,0,0,294733760
6,46,145.0,629.0,307.0,176,10,0,0,0,0,0,294734032
7,54,145.0,629.0,307.0,176,10,0,0,0,0,0,294734304
8,61,145.0,629.0,307.0,176,10,0,0,0,0,0,294734672
9,67,145.0,629.0,307.0,176,10,0,0,0,0,0,294734944
10,75,145.0,629.0,307.0,176,10,0,0,0,0,0,294735216
11,82,145.0,629.0,307.0,176,10,0,0,0,0,0,294735488
12,88,145.0,629.0,307.0,176,10,0,0,0,0,0,294735904
13,94,145.0,629.0,307.0,176,10,0,0,0,0,0,294736176
14,103,145.0,629.0,307.0,176,10,0,0,0,0,0,294736448
15,109,145.0,629.0,307.0,176,10,0,0,0,0,0,294736744
16,116,145.0,629.0,307.0,176,10,0,0,0,0,0,294737040
17,123,145.0,629.0,307.0,176,10,0,0,0,0,0,294737336
18,130,145.0,629.0,307.0,176,10,0,0,0,0,0,294737848
19,137,145.0,629.0,307.0,176,10,0,0,0,0,0,294738144
20,144,145.0,629.0,307.0,176,10,0,0,0,0,0,294738440
21,151,145.0,629.0,307.0,176,10,0,0,0,0,0,294738736
22,157,145.0,629.0,307.0,176,10,0,0,0,0,0,294739032
23,165,145.0,629.0,307.0,176,10,0,0,0,0,0,294739328
24,171,145.0,629.0,307.0,176,10,0,0,0,0,0,294739624
25,178,145.0,629.0,307.0,176,10,0,0,0,0,0,294739920
26,185,145.0,629.0,307.0,176,10,0,0,0,0,0,294740216
27,192,145.0,629.0,307.0,176,10,0,0,0,0,0,294740848
28,199,145.0,629.0,307.0,176,10,0,0,0,0,0,294741144
29,206,145.0,629.0,307.0,176,10,0,0,0,0,0,294741440
30,213,145.0,629.0,307.0,176,10,0,0,0,0,0,294741736
31,220,145.0,629.0,307.0,176,10,0,0,0,0,0,294742032
32,226,145.0,629.0,307.0,176,10,0,0,0,0,0,294742328
33,234,145.0,629.0,307.0,176,10,0,0,0,0,0,294742624
34,240,145.0,629.0,307.0,176,10,0,0,0,0,0,294742920
35,247,145.0,629.0,307.0,176,10,0,0,0,0,0,294743216
36,253,145.0,629.0,307.0,176,10,0,0,0,0,0,294743512
37,261,145.0,629.0,307.0,176,10,0,0,0,0,0,294743808
38,268,145.0,629.0,307.0,176,10,0,0,0,0,0,294744104
39,275,145.0,629.0,307.0,176,10,0,0,0,0,0,294744400
40,282,145.0,629.0,307.0,176,10,0,0,0,0,0,294744696
41,289,145.0,629.0,307.0,176,10,0,0,0,0,0,294745496
42,295,145.0,629.0,307.0,176,10,0,0,0,0,0,294745792
43,303,145.0,629.0,307.0,176,10,0,0,0,0,0,294746088
44,309,145.0,629.0,307.0,176,10,0,0,0,0,0,294746384
45,316,145.0,629.0,307.0,176,10,0,0,0,0,0,294746680
46,323,145.0,629.0,307.0,176,10,0,0,0,0,0,294746976
47,330,145.0,629.0,307.0,176,10,0,0,0,0,0,294747272
48,336,145.0,629.0,307.0,176,10,0,0,0,0,0,294747568
49,344,145.0,629.0,307.0,176,10,0,0,0,0,0,294747864
50,351,145.0,629.0,307.0,176,10,0,0,0,0,0,294748160
51,358,145.0,629.0,307.0,176,10,0,0,0,0,0,294748456
52,365,145.0,629.0,307.0,176,10,0,0,0,0,0,294748752
53,371,145.0,629.0,307.0,176,10,0,0,0,0,0,294749048
54,377,145.0,629.0,307.0,176,10,0,0,0,0,0,294749344
55,386,145.0,629.0,307.0,176,10,0,0,0,0,0,294749640
56,392,145.0,629.0,307.0,176,10,0,0,0,0,0,294749936
57,399,145.0,629.0,307.0,176,10,0,0,0,0,0,294750232
58,406,145.0,629.0,307.0,176,10,0,0,0,0,0,294750528
59,413,145.0,629.0,307.0,176,10,0,0,0,0,0,294750824
60,419,145.0,629.0,307.0,176,10,0,0,0,0,0,294751120
61,426,145.0,629.0,307.0,176,10,0,0,0,0,0,294751416
62,434,145.0,629.0,307.0,176,10,0,0,0,0,0,294752456
63,440,145.0,629.0,307.0,176,10,0,0,0,0,0,294752752
64,447,145.0,629.0,307.0,176,10,0,0,0,0,0,294753048
65,454,145.0,629.0,307.0,176,10,0,0,0,0,0,294753344
66,461,145.0,629.0,307.0,176,10,0,0,0,0,0,294753640
67,468,145.0,629.0,307.0,176,10,0,0,0,0,0,294753936
68,475,145.0,629.0,307.0,176,10,0,0,0,0,0,294754232
69,482,145.0,629.0,307.0,176,10,0,0,0,0,0,294754528
70,489,145.0,629.0,307.0,176,10,0,0,0,0,0,294754824
71,495,145.0,629.0,307.0,176,10,0,0,0,0,0,294755120
72,501,145.0,629.0,307.0,176,10,0,0,0,0,0,294755416
73,510,145.0,629.0,307.0,176,10,0,0,0,0,0,294755712
74,516,145.0,629.0,307.0,176,10,0,0,0,0,0,294756008
75,523,145.0,629.0,307.0,176,10,0,0,0,0,0,294756304
76,530,145.0,629.0,307.0,176,10,0,0,0,0,0,294756600
77,536,145.0,629.0,307.0,176,10,0,0,0,0,0,294756896
78,543,145.0,629.0,307.0,176,10,0,0,0,0,0,294757192
79,551,145.0,629.0,307.0,176,10,0,0,0,0,0,294757488
80,557,145.0,629.0,307.0,176,10,0,0,0,0,0,294757784
81,565,145.0,629.0,307.0,176,10,0,0,0,0,0,294758080
82,571,145.0,629.0,307.0,176,10,0,0,0,0,0,294758376
83,578,145.0,629.0,307.0,176,10,0,0,0,0,0,294758672
84,585,145.0,629.0,307.0,176,10,0,0,0,0,0,294758968
85,592,145.0,629.0,307.0,176,10,0,0,0,0,0,294759264
86,599,145.0,629.0,307.0,176,10,0,0,0,0,0,294759560
87,606,145.0,629.0,307.0,176,10,0,0,0,0,0,294759856
88,613,145.0,629.0,307.0,176,10,0,0,0,0,0,294760152
89,619,145.0,629.0,307.0,176,10,0,0,0,0,0,294760448
90,627,145.0,629.0,307.0,176,10,0,0,0,0,0,294760744
91,633,145.0,629.0,307.0,176,10,0,0,0,0,0,294761040
92,641,145.0,629.0,307.0,176,10,0,0,0,0,0,294761336
93,648,145.0,629.0,307.0,176,10,0,0,0,0,0,294762760
94,654,145.0,629.0,307.0,176,10,0,0,0,0,0,294763056
95,660,145.0,629.0,307.0,176,10,0,0,0,0,0,294763352
96,667,145.0,629.0,307.0,176,10,0,0,0,0,0,294763648
97,675,145.0,629.0,307.0,176,10,0,0,0,0,0,294763944
98,682,145.0,629.0,307.0,176,10,0,0,0,0,0,294764240
99,689,145.0,629.0,307.0,176,10,0,0,0,0,0,294764536
100,695,145.0,629.0,307.0,176,10,0,0,0,0,0,294764832
101,702,145.0,629.0,307.0,176,10,0,0,0,0,0,294765144
102,710,145.0,629.0,307.0,176,10,0,0,0,0,0,294765456
103,716,145.0,629.0,307.0,176,10,0,0,0,0,0,294765768
104,723,145.0,629.0,307.0,176,10,0,0,0,0,0,294766080
105,730,145.0,629.0,307.0,176,10,0,0,0,0,0,294766392
106,737,145.0,629.0,307.0,176,10,0,0,0,0,0,294766704
107,744,145.0,629.0,307.0,176,10,0,0,0,0,0,294767016
108,751,145.0,629.0,307.0,176,10,0,0,0,0,0,294767328
109,758,145.0,629.0,307.0,176,10,0,0,0,0,0,294767640
