frame_idx,elapsed_ms,fps,process_us,physics_us,node_count,npc_count,signal_emit,prox_check,behavior_tick,anim_update,collision_count,memory_bytes
0,6,145.0,1440.0,2208.0,176,10,0,0,0,0,0,294730948
1,13,145.0,1440.0,2208.0,176,10,0,0,0,0,0,294732496
2,20,145.0,1440.0,2208.0,176,10,0,0,0,0,0,294732792
3,26,145.0,1440.0,2208.0,176,10,0,0,0,0,0,294733112
4,34,145.0,1440.0,2208.0,176,10,0,0,0,0,0,294733384
5,40,145.0,1440.0,2208.0,176,10,0,0,0,0,0,294733728
6,47,145.0,1440.0,2208.0,176,10,0,0,0,0,0,294734000
7,54,145.0,1440.0,2208.0,176,10,0,0,0,0,0,294734272
8,61,145.0,1440.0,2208.0,176,10,0,0,0,0,0,294734640
9,68,145.0,1440.0,2208.0,176,10,0,0,0,0,0,294734912
10,75,145.0,1440.0,2208.0,176,10,0,0,0,0,0,294735184
11,82,145.0,1440.0,2208.0,176,10,0,0,0,0,0,294735456
12,89,145.0,1440.0,2208.0,176,10,0,0,0,0,0,294735872
13,96,145.0,1440.0,2208.0,176,10,0,0,0,0,0,294736144
14,102,145.0,1440.0,2208.0,176,10,0,0,0,0,0,294736416
15,109,145.0,1440.0,2208.0,176,10,0,0,0,0,0,294736712
16,116,145.0,1440.0,2208.0,176,10,0,0,0,0,0,294737008
17,123,145.0,1440.0,2208.0,176,10,0,0,0,0,0,294737304
18,129,145.0,1440.0,2208.0,176,10,0,0,0,0,0,294737816
19,137,145.0,1440.0,2208.0,176,10,0,0,0,0,0,294738112
20,144,145.0,1440.0,2208.0,176,10,0,0,0,0,0,294738408
21,151,145.0,1440.0,2208.0,176,10,0,0,0,0,0,294738704
22,158,145.0,1440.0,2208.0,176,10,0,0,0,0,0,294739000
23,165,145.0,1440.0,2208.0,176,10,0,0,0,0,0,294739296
24,170,145.0,1440.0,2208.0,176,10,0,0,0,0,0,294739592
25,179,145.0,1440.0,2208.0,176,10,0,0,0,0,0,294739888
26,185,145.0,1440.0,2208.0,176,10,0,0,0,0,0,294740184
27,192,145.0,1440.0,2208.0,176,10,0,0,0,0,0,294740816
