frame_idx,elapsed_ms,fps,process_us,physics_us,node_count,npc_count,signal_emit,prox_check,behavior_tick,anim_update,collision_count,memory_bytes
0,6,145.0,527.0,350.0,176,10,0,10,0,0,0,294748208
1,12,145.0,527.0,350.0,176,10,0,20,0,0,0,294749756
2,20,145.0,527.0,350.0,176,10,0,30,0,0,0,294750052
3,26,145.0,527.0,350.0,176,10,0,40,0,0,0,294750372
4,34,145.0,527.0,350.0,176,10,0,50,0,0,0,294750644
5,40,145.0,527.0,350.0,176,10,0,60,0,0,0,294750988
6,47,145.0,527.0,350.0,176,10,0,70,0,0,0,294751260
7,53,145.0,527.0,350.0,176,10,0,80,0,0,0,294751532
8,61,145.0,527.0,350.0,176,10,0,90,0,0,0,294751900
9,68,145.0,527.0,350.0,176,10,0,100,0,0,0,294752172
10,75,145.0,527.0,350.0,176,10,0,110,0,0,0,294752444
11,82,145.0,527.0,350.0,176,10,0,120,0,0,0,294752716
12,89,145.0,527.0,350.0,176,10,0,130,0,0,0,294753132
13,96,145.0,527.0,350.0,176,10,0,140,0,0,0,294753404
14,103,145.0,527.0,350.0,176,10,0,150,0,0,0,294753676
15,109,145.0,527.0,350.0,176,10,0,160,0,0,0,294753972
16,116,145.0,527.0,350.0,176,10,0,170,0,0,0,294754268
17,123,145.0,527.0,350.0,176,10,0,180,0,0,0,294754564
18,130,145.0,527.0,350.0,176,10,0,190,0,0,0,294755076
19,136,145.0,527.0,350.0,176,10,0,200,0,0,0,294755372
20,144,145.0,527.0,350.0,176,10,0,210,0,0,0,294755668
21,151,145.0,527.0,350.0,176,10,0,220,0,0,0,294755964
22,158,145.0,527.0,350.0,176,10,0,230,0,0,0,294756260
23,164,145.0,527.0,350.0,176,10,0,240,0,0,0,294756556
24,172,145.0,527.0,350.0,176,10,0,250,0,0,0,294756852
25,178,145.0,527.0,350.0,176,10,0,260,0,0,0,294757148
26,186,145.0,527.0,350.0,176,10,0,270,0,0,0,294757444
27,192,145.0,527.0,350.0,176,10,0,280,0,0,0,294758076
