frame_idx,elapsed_ms,fps,process_us,physics_us,node_count,npc_count,signal_emit,prox_check,behavior_tick,anim_update,collision_count,memory_bytes
0,5,145.0,693.0,473.0,176,10,2,0,1,0,0,294730972
1,11,145.0,693.0,473.0,176,10,4,0,2,0,0,294732520
2,19,145.0,693.0,473.0,176,10,6,0,3,0,0,294732816
3,26,145.0,693.0,473.0,176,10,8,0,4,0,0,294733136
4,33,145.0,693.0,473.0,176,10,10,0,5,0,0,294733408
5,39,145.0,693.0,473.0,176,10,12,0,6,0,0,294733752
6,47,145.0,693.0,473.0,176,10,14,0,7,0,0,294734024
7,53,145.0,693.0,473.0,176,10,16,0,8,0,0,294734296
8,61,145.0,693.0,473.0,176,10,18,0,9,0,0,294734664
9,68,145.0,693.0,473.0,176,10,20,0,10,0,0,294734936
10,74,145.0,693.0,473.0,176,10,22,0,11,0,0,294735208
11,81,145.0,693.0,473.0,176,10,24,0,12,0,0,294735480
12,88,145.0,693.0,473.0,176,10,26,0,13,0,0,294735896
13,95,145.0,693.0,473.0,176,10,28,0,14,0,0,294736168
14,102,145.0,693.0,473.0,176,10,30,0,15,0,0,294736440
15,109,145.0,693.0,473.0,176,10,32,0,16,0,0,294736736
16,116,145.0,693.0,473.0,176,10,34,0,17,0,0,294737032
17,122,145.0,693.0,473.0,176,10,36,0,18,0,0,294737328
18,130,145.0,693.0,473.0,176,10,38,0,19,0,0,294737840
19,136,145.0,693.0,473.0,176,10,40,0,20,0,0,294738136
20,143,145.0,693.0,473.0,176,10,42,0,21,0,0,294738432
21,150,145.0,693.0,473.0,176,10,44,0,22,0,0,294738728
22,157,145.0,693.0,473.0,176,10,46,0,23,0,0,294739024
23,163,145.0,693.0,473.0,176,10,48,0,24,0,0,294739320
24,171,145.0,693.0,473.0,176,10,50,0,25,0,0,294739616
25,178,145.0,693.0,473.0,176,10,52,0,26,0,0,294739912
26,185,145.0,693.0,473.0,176,10,54,0,27,0,0,294740208
27,192,145.0,693.0,473.0,176,10,56,0,28,0,0,294740840
28,199,145.0,693.0,473.0,176,10,58,0,29,0,0,294741136
29,205,145.0,693.0,473.0,176,10,60,0,30,0,0,294741432
30,212,145.0,693.0,473.0,176,10,62,0,31,0,0,294741728
31,219,145.0,693.0,473.0,176,10,64,0,32,0,0,294742024
32,226,145.0,693.0,473.0,176,10,66,0,33,0,0,294742320
33,233,145.0,693.0,473.0,176,10,68,0,34,0,0,294742616
34,239,145.0,693.0,473.0,176,10,70,0,35,0,0,294742912
35,247,145.0,693.0,473.0,176,10,72,0,36,0,0,294743208
36,254,145.0,693.0,473.0,176,10,74,0,37,0,0,294743504
37,260,145.0,693.0,473.0,176,10,76,0,38,0,0,294743800
38,268,145.0,693.0,473.0,176,10,78,0,39,0,0,294744096
39,274,145.0,693.0,473.0,176,10,80,0,40,0,0,294744392
40,281,145.0,693.0,473.0,176,10,82,0,41,0,0,294744688
41,288,145.0,693.0,473.0,176,10,84,0,42,0,0,294745488
42,295,145.0,693.0,473.0,176,10,86,0,43,0,0,294745784
43,302,145.0,693.0,473.0,176,10,88,0,44,0,0,294746080
44,309,145.0,693.0,473.0,176,10,90,0,45,0,0,294746376
45,316,145.0,693.0,473.0,176,10,92,0,46,0,0,294746672
46,322,145.0,693.0,473.0,176,10,94,0,47,0,0,294746968
47,330,145.0,693.0,473.0,176,10,96,0,48,0,0,294747264
48,336,145.0,693.0,473.0,176,10,98,0,49,0,0,294747560
49,344,145.0,693.0,473.0,176,10,100,0,50,0,0,294747856
50,350,145.0,693.0,473.0,176,10,102,0,51,0,0,294748152
51,356,145.0,693.0,473.0,176,10,104,0,52,0,0,294748448
52,364,145.0,693.0,473.0,176,10,106,0,53,0,0,294748744
53,371,145.0,693.0,473.0,176,10,108,0,54,0,0,294749040
54,378,145.0,693.0,473.0,176,10,110,0,55,0,0,294749336
55,385,145.0,693.0,473.0,176,10,112,0,56,0,0,294749632
56,392,145.0,693.0,473.0,176,10,114,0,57,0,0,294749928
57,399,145.0,693.0,473.0,176,10,116,0,58,0,0,294750224
58,405,145.0,693.0,473.0,176,10,118,0,59,0,0,294750520
59,413,145.0,693.0,473.0,176,10,120,0,60,0,0,294750816
60,419,145.0,693.0,473.0,176,10,122,0,61,0,0,294751112
61,426,145.0,693.0,473.0,176,10,124,0,62,0,0,294751408
62,433,145.0,693.0,473.0,176,10,126,0,63,0,0,294752448
63,440,145.0,693.0,473.0,176,10,128,0,64,0,0,294752744
64,447,145.0,693.0,473.0,176,10,130,0,65,0,0,294753040
65,454,145.0,693.0,473.0,176,10,132,0,66,0,0,294753336
66,461,145.0,693.0,473.0,176,10,134,0,67,0,0,294753632
67,467,145.0,693.0,473.0,176,10,136,0,68,0,0,294753928
68,475,145.0,693.0,473.0,176,10,138,0,69,0,0,294754224
69,481,145.0,693.0,473.0,176,10,140,0,70,0,0,294754520
70,488,145.0,693.0,473.0,176,10,142,0,71,0,0,294754816
71,495,145.0,693.0,473.0,176,10,144,0,72,0,0,294755112
72,502,145.0,693.0,473.0,176,10,146,0,73,0,0,294755408
73,509,145.0,693.0,473.0,176,10,148,0,74,0,0,294755704
74,515,145.0,693.0,473.0,176,10,150,0,75,0,0,294756000
75,522,145.0,693.0,473.0,176,10,152,0,76,0,0,294756296
76,530,145.0,693.0,473.0,176,10,154,0,77,0,0,294756592
77,536,145.0,693.0,473.0,176,10,156,0,78,0,0,294756888
78,544,145.0,693.0,473.0,176,10,158,0,79,0,0,294757184
