request_id,mode,timestamp,total_us,serialize_us,send_us,parse_us,callback_us,fallback_reason
bench_1,live,1779955118,3136,5,51,0,0,http_2_0
bench_2,live,1779955118,13796,6,59,0,0,http_2_0
bench_3,live,1779955118,13547,6,74,0,0,http_2_0
bench_4,live,1779955119,7,0,0,0,0,high_risk_keyword
bench_5,live,1779955119,13803,45,149,0,0,http_2_0
bench_6,live,1779955119,13826,14,101,0,0,http_2_0
bench_7,live,1779955119,13786,8,133,0,0,http_2_0
bench_8,live,1779955119,13811,11,123,0,0,http_2_0
bench_9,live,1779955119,13830,9,111,0,0,http_2_0
bench_10,live,1779955119,13816,9,113,0,0,http_2_0
bench_11,live,1779955119,14301,9,102,0,0,http_2_0
bench_12,live,1779955119,14,0,0,0,0,high_risk_keyword
bench_13,live,1779955119,14081,8,96,0,0,http_2_0
bench_14,live,1779955119,13778,8,103,0,0,http_2_0
bench_15,live,1779955119,12551,8,97,0,0,http_2_0
bench_16,live,1779955119,13817,15,305,0,0,http_2_0
bench_17,live,1779955119,13717,16,273,0,0,http_2_0
bench_18,live,1779955119,13810,9,119,0,0,http_2_0
bench_19,live,1779955119,13075,13,114,0,0,http_2_0
bench_20,live,1779955120,8,0,0,0,0,high_risk_keyword
bench_21,live,1779955120,13865,8,113,0,0,http_2_0
bench_22,live,1779955120,13840,9,117,0,0,http_2_0
bench_23,live,1779955120,13081,9,93,0,0,http_2_0
bench_24,live,1779955120,13775,8,104,0,0,http_2_0
bench_25,live,1779955120,13873,9,124,0,0,http_2_0
bench_26,live,1779955120,14645,8,52,0,0,http_2_0
bench_27,live,1779955120,13984,8,98,0,0,http_2_0
bench_28,live,1779955120,9,0,0,0,0,high_risk_keyword
bench_29,live,1779955120,13865,8,118,0,0,http_2_0
bench_30,live,1779955120,13107,12,161,0,0,http_2_0
