request_id,mode,timestamp,total_us,serialize_us,send_us,parse_us,callback_us,fallback_reason
bench_1,off,1779954963,8,0,0,0,0,
bench_2,off,1779954963,2,0,0,0,0,
bench_3,off,1779954963,14,0,0,0,0,
bench_4,off,1779954963,9,0,0,0,0,high_risk_keyword
bench_5,off,1779954963,58,0,0,0,0,
bench_6,off,1779954963,10,0,0,0,0,
bench_7,off,1779954963,10,0,0,0,0,
bench_8,off,1779954963,41,0,0,0,0,
bench_9,off,1779954963,12,0,0,0,0,
bench_10,off,1779954964,11,0,0,0,0,
bench_11,off,1779954964,11,0,0,0,0,
bench_12,off,1779954964,12,0,0,0,0,high_risk_keyword
bench_13,off,1779954964,18,0,0,0,0,
bench_14,off,1779954964,10,0,0,0,0,
bench_15,off,1779954964,9,0,0,0,0,
bench_16,off,1779954964,9,0,0,0,0,
bench_17,off,1779954964,16,0,0,0,0,
bench_18,off,1779954964,9,0,0,0,0,
bench_19,off,1779954964,16,0,0,0,0,
bench_20,off,1779954964,7,0,0,0,0,high_risk_keyword
bench_21,off,1779954964,12,0,0,0,0,
bench_22,off,1779954964,9,0,0,0,0,
bench_23,off,1779954964,9,0,0,0,0,
bench_24,off,1779954964,10,0,0,0,0,
bench_25,off,1779954964,9,0,0,0,0,
bench_26,off,1779954964,10,0,0,0,0,
bench_27,off,1779954964,11,0,0,0,0,
bench_28,off,1779954965,5,0,0,0,0,high_risk_keyword
bench_29,off,1779954965,10,0,0,0,0,
bench_30,off,1779954965,13,0,0,0,0,
